codigo_entidad,descripcion_entidad,codigo_dato,descripcion_dato,valor_dato,formato,año,mes,mes_str,origen
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010000000,ACTIVO,274481845.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010100000,Efectivo y deposito en bancos,34120787.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010200000,Títulos Públicos y Privados,40586153.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010300000,Préstamos,165351247.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010301000,Sector Público no Financiero,375.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010302000,Sector Financiero,4079159.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303000,Sector Privado no Financiero y Residentes en el Ext.,165092781.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303001,Adelantos,11317465.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303005,"Doc a sola firma, descont. y comprados",33453730.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303010,Hipotecarios,6404651.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303015,Prendarios,1136058.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303020,Personales,19276045.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303030,Otros,92096474.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303045,Intereses y dif. cotiz. deveng. a cobrar,2662422.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303050,Cobros no aplicados,-31851.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303055,Intereses documentados,-878853.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303060,Ajustes NIIF,-343360.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010304000,Previsiones,-3821068.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010400000,Otros Cred.por Interm.Finan.,16278147.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010500000,Credito por arrendamiento financiero,1868823.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010600000,Part. en otras Sociedades,337176.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010600005,En entidades financieras,9743.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010600020,Otras,327433.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010700000,Créditos Diversos,4784526.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010800000,"Propiedad, plantas y equipo",8981523.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010900000,Bienes Diversos,1508171.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100011000000,Activos Intangibles,590417.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100011200000,Partidas Pend. de Imputación,74875.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020000000,PASIVO,241431397.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020100000,Depósitos,192968420.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020101000,Sector Público no financiero,2110657.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020102000,Sector Financiero,183029.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020103000,Sector Privado no Financiero y Residentes en el Ext.,190674734.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020103001,Cuentas corrientes,30949008.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020103005,Caja de ahorros,87820668.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020103010,Plazo fijo e inversiones a plazo,69177756.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020103015,Otros,1505453.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020103020,Intereses y dif. cotiz. deveng. a pagar,1221849.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020200000,Otras Oblig.por Intermed. Financ.,35884836.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020300000,Obligaciones Diversas,7095161.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020400000,Provisiones,541321.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020500000,Obligaciones Subordinadas,4886127.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100020600000,Partidas Pendientes de Imputación,55532.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100030000000,PATRIMONIO NETO,33050448.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100030100000,"Capital, Aportes, Reservas y ORI acumulado",22858784.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100030600000,Resultados no asignados,10191664.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040000000,RESULTADOS INTEGRALES ACUMULADOS DEL PERIODO,603278.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040100000,Ingresos financieros,3665997.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040100005,Por Intereses,2683816.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040100090,Otros Ingresos Financieros,982181.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040200000,Egresos financieros,-1777299.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040200005,Por Intereses,-1387362.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040200090,Otros Egresos Financieros,-389937.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040300000,Cargo por incobrabilidad,-309379.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040400000,Ingresos por servicios,1268320.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040500000,Egresos por servicios,-467599.0,N,2018,1,2018-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100040700000,Gastos de administración,-1354283.0,N,2018,1,2018-01,balres
