codigo_entidad,descripcion_entidad,codigo_dato,descripcion_dato,valor_dato,formato,año,mes,mes_str,origen
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010000000,A C T I V O,9679066941.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010100000,Efectivo y deposito en bancos,2083357241.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010200000,Títulos Públicos y Privados,1947100109.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010300000,Préstamos,2452397567.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010301000,Sector Público no Financiero,408399.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010302000,Sector Financiero,14606011.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303000,Sector Privado no Financiero y Residentes en el Ext.,2525857593.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303001,Adelantos,300204697.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303005,"Doc a sola firma, descont. y comprados",752067059.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303010,Hipotecarios,38660331.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303015,Prendarios,41908565.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303020,Personales,198704376.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303030,Otros,1024277030.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303045,Intereses y dif. cotiz. deveng. a cobrar,264846648.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303050,Cobros no aplicados,-249853.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303055,Intereses documentados,-12149880.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010303060,Ajustes NIIF,-82411380.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010304000,Previsiones,-88474436.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010400000,Otros Cred.por Interm.Finan.,2142479675.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010500000,Credito por arrendamiento financiero,6219050.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010600000,Part. en otras Sociedades,6132028.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010600020,Otras,6132028.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010700000,Créditos Diversos,507319512.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010800000,"Propiedad, plantas y equipo",387348090.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100010900000,Bienes Diversos,15715424.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100011000000,Activos Intangibles,127347402.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100011200000,Partidas Pend. de Imputación,3650843.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020000000,P A S I V O,7640376145.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020100000,Depósitos,5649668746.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020101000,Sector Público no financiero,96726140.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020102000,Sector Financiero,4532112.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020103000,Sector Privado no Financiero y Residentes en el Ext.,5548410494.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020103001,Cuentas corrientes,675955773.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020103005,Caja de ahorros,3446863398.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020103010,Plazo fijo e inversiones a plazo,1248248441.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020103015,Otros,24654579.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020103020,Intereses y dif. cotiz. deveng. a pagar,152688303.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020200000,Otras Oblig.por Intermed. Financ.,1343593601.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020300000,Obligaciones Diversas,411861751.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020400000,Provisiones,28668929.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020500000,Obligaciones Subordinadas,205465023.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100020600000,Partidas Pendientes de Imputación,1118095.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100030000000,P A T R I M O N I O   N E T O,2038690796.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100030100000,"Capital, Aportes, Reservas y ORI acumulado",1653835839.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100030600000,Resultados no asignados,384854957.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040000000,R D O S. I N T E G R A L E S  A C U M.  D E L  P E R I O D O,43769031.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040100000,Ingresos financieros,553641434.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040100005,Por Intereses,450315375.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040100090,Otros Ingresos Financieros,103326059.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040200000,Egresos financieros,-241634257.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040200005,Por Intereses,-188692748.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040200090,Otros Egresos Financieros,-52941509.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040300000,Cargo por incobrabilidad,-10898072.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040400000,Ingresos por servicios,31697147.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040500000,Egresos por servicios,-19304854.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040700000,Gastos de administración,-48640578.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100040800000,Créditos recuperados y previsiones desafectadas,341629.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100041200000,Resultado monetario,-223182374.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100041300000,Otros,25346621.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100041400000,Impuesto a las ganancias,-23576424.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100041500000,Otro resultado integral,-21241.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050000000,PARTIDAS FUERA DE BALANCE,0.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050100000,Créditos irrecuperables en partidas fuera del balance,20335793.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050200000,Contingentes acreedoras,6603735671.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050300000,De Control acreedoras,80643218.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050400000,De Derivados acreedoras,986930168.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050600000,Contingentes deudoras,1259539517.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050700000,De Control deudoras,20243666330.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050800000,De Derivados deudoras,2695293982.0,N,2024,1,2024-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,100050900000,De Actividad fiduciaria deudoras,22390497.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010000000,A C T I V O,24630249818.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010100000,Efectivo y deposito en bancos,2315325882.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010200000,Títulos Públicos y Privados,8514938151.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010300000,Préstamos,3905006744.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010301000,Sector Público no Financiero,417537536.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010302000,Sector Financiero,2.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303000,Sector Privado no Financiero y Residentes en el Ext.,4087062665.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303001,Adelantos,48209396.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303005,"Doc a sola firma, descont. y comprados",696348813.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303010,Hipotecarios,269535346.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303015,Prendarios,127350446.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303020,Personales,237048574.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303030,Otros,1347234397.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303045,Intereses y dif. cotiz. deveng. a cobrar,1415575303.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303050,Cobros no aplicados,-2117801.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303055,Intereses documentados,-47870093.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010303060,Ajustes NIIF,-4251716.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010304000,Previsiones,-599593459.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010400000,Otros Cred.por Interm.Finan.,7108610153.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010600000,Part. en otras Sociedades,557867165.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010600005,En entidades financieras,161823620.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010600020,Otras,396043545.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010700000,Créditos Diversos,842765262.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010800000,"Propiedad, plantas y equipo",696312625.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100010900000,Bienes Diversos,28566314.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100011100000,Filiales en el Exterior,626026931.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100011200000,Partidas Pend. de Imputación,34830591.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020000000,P A S I V O,18203291348.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020100000,Depósitos,16179783406.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020101000,Sector Público no financiero,6275488670.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020102000,Sector Financiero,25460503.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020103000,Sector Privado no Financiero y Residentes en el Ext.,9878834233.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020103001,Cuentas corrientes,594045334.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020103005,Caja de ahorros,3477318619.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020103010,Plazo fijo e inversiones a plazo,5119498033.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020103015,Otros,358216892.0,N,2024,1,2024-01,balres
00011,BANCO DE LA NACION ARGENTINA,100020103020,Intereses y dif. cotiz. deveng. a pagar,329755355.0,N,2024,1,2024-01,balres
