codigo_dato,descripcion_dato,formato,origen,homogeneizable,deflactor
100050800000,De Derivados deudoras,N,balres,1,IPC_INDEC_NAC_NG
100050900000,De Actividad fiduciaria deudoras,N,balres,1,IPC_INDEC_NAC_NG
100060000000,"Importe a netear de operac. y pases, a término y contado a l",N,balres,1,IPC_INDEC_NAC_NG
8000111,A11 - Cartera Irregular Sector Privado (%),P,indicad,0,
80001111,L1 - Liquidez Total con Posición de Call (%),P,indicad,0,
800010100010,C1 - Apalancamiento (en veces),N,indicad,0,
800010100020,C2 - Pérdida Potencial de Cartera en Situación 2 a 6 (%),P,indicad,0,
800010100030,C3 - Pérdida Potencial de Cartera en Situación 3 a 6 (%),P,indicad,0,
800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,indicad,0,
800010200110,A11 - Cartera Irregular Sector Privado (%),P,indicad,0,
800010200120,A12 - Participación Cartera Comercial Sector Privado (%),P,indicad,0,
800010200130,A13 - Participación Cartera Consumo Sector Privado (%),P,indicad,0,
800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,indicad,0,
800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,indicad,0,
800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,indicad,0,
800010200210,A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),P,indicad,0,
800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,indicad,0,
800010201290,AG29 - Efectivo y Depósito en Bancos / Activo (%),P,indicad,0,
800010300010,E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),P,indicad,0,
800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,indicad,0,
800010300040,E4 - Depósitos por Empleado (en millones de pesos),N,indicad,1,IPC_INDEC_NAC_NG
800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,indicad,1,IPC_INDEC_NAC_NG
800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,indicad,0,
800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,indicad,0,
800010400080,R8 - Tasa Implicita Préstamos Totales (%),P,indicad,0,
800010400090,R9 - Tasa Implicita Depósitos Totales (%),P,indicad,0,
800010400170,R17 - Gastos en Personal / Gastos de Administración (%),P,indicad,0,
800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,indicad,0,
800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,indicad,0,
800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,indicad,0,
800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,indicad,0,
800010401050,RG5 - Gastos de Administración / Activo  (%),P,indicad,0,
800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,indicad,0,
800010500010,L1 - Liq con titulos c/cotiz + posición de call y leliq (%),P,indicad,0,
800010500080,L8_II - Liquidez con títulos con cotiz (%),P,indicad,0,
800010500090,L9 - Liquidez con leliq y pases (%),P,indicad,0,
110000000001,CANTIDAD ENTIDADES FINANCIERAS,N,inf_adi,0,
110000000002,Bancos,N,inf_adi,0,
110000000003,Bancos Públicos,N,inf_adi,0,
110000000004,Bancos Privados,N,inf_adi,0,
110000000005,Bancos Locales de Capital Nacional,N,inf_adi,0,
110000000006,Bancos Locales de Capital extranjero,N,inf_adi,0,
110000000007,Bancos Sucursales de Entidades Financieras del Exter,N,inf_adi,0,
110000000008,Compañías Financieras,N,inf_adi,0,
110000000009,Compañías Financieras de Capital Nacional,N,inf_adi,0,
110000000010,Compañías Financieras de Capital Extranjero,N,inf_adi,0,
110000000011,Cajas de Crédito,N,inf_adi,0,
310000000033,Cantidad de cuentas corrientes,N,inf_adi,0,
310000000043,Cantidad de cuentas de ahorro,N,inf_adi,0,
310000000044,Cantidad de cajas de ahorro de ayuda social,N,inf_adi,0,
310000000045,Cantidad de cuentas previsionales,N,inf_adi,0,
310000000051,Cantidad de operaciones a plazo fijo Individuos,N,inf_adi,0,
310000000052,Cantidad de operaciones a plazo fijo Empresas,N,inf_adi,0,
310000000061,Cantidad de operaciones por préstamos Individuos,N,inf_adi,0,
310000000062,Cantidad de operaciones por préstamos Empresas,N,inf_adi,0,
310000000063,Cantidad de operaciones por préstamos hipotecarios,N,inf_adi,0,
310000000064,Cantidad de operaciones por préstamos prendarios,N,inf_adi,0,
310000000065,Cantidad de operaciones por otros préstamos,N,inf_adi,0,
310000000070,Dotación de personal,N,inf_adi,0,
312100000011,Cantidad de titulares por tarjetas de crédito,N,inf_adi,0,
312100000012,Cantidad de tarjetas de crédito (plásticos),N,inf_adi,0,
318000100001,Cantidad de cuentas con tarjetas de débito,N,inf_adi,0,
318000100002,Cantidad de tarjetas de débito,N,inf_adi,0,
318000500001,Cantidad de cheques librados por cuentacorrentistas,N,inf_adi,0,
318000500002,Monto pagado por cheques librados,N,inf_adi,1,IPC_INDEC_NAC_NG
400100001000,Cantidad de Cuentas,N,inf_adi,0,
400100002000,Cantidad de Empresas,N,inf_adi,0,
991000001,Sucursales (red propia),N,casas,0,
991000002,Cajeros automáticos fuera de casas operativas,N,casas,0,
991000003,Terminales de autoservicio,N,casas,0,
991000004,Dependencias automatizadas,N,casas,0,
