codigo_entidad,descripcion_entidad,codigo_dato,descripcion_dato,valor_dato,formato,año,mes,mes_str,origen
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010000000,A C T I V O,142909311.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010100000,Disponibilidades,24036647.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010200000,Títulos Públicos y Privados,24975899.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010300000,Préstamos,73181389.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010301000,Sector Público no Financiero,80.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010302000,Sector Financiero,791603.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303000,Sector Privado no Financiero y Residentes en el Ext.,74177542.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303001,Adelantos,7179864.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303005,"Doc a sola firma, descont. y comprados",21387820.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303010,Hipotecarios,2101400.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303015,Prendarios,473747.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303020,Personales,6424331.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303030,Otros,35119071.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010303045,Intereses y dif. cotiz. deveng. a cobrar,1491309.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010304000,Previsiones,-1787836.0,N,2016,1,2016-01,balres
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,100010400000,Otros Cred.por Interm.Finan.,8757066.0,N,2016,1,2016-01,balres
