codigo_entidad,mes_str,categoria,tipo_filial,denominacion,direccion,localidad,partido,provincia,latitud,longitud,cantidad_cajeros
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL MAGDALENA - Nº DE SERIE 5300593701,HIPOLITO YRIGOYEN 901,MAGDALENA,MAGDALENA,BUENOS AIRES,-35.076440,-57.517548,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,MAIPU - SERIE Nº 1720-VH100636,SARMIENTO 396,MAIPU,MAIPU,BUENOS AIRES,-36.862920,-57.882610,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL VILLA GESELL - N° DE SERIE 1720-VH-103217,AV. 3 (SAN MARTIN) 751,VILLA GESELL,VILLA GESELL,BUENOS AIRES,-37.259689,-56.971073,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL ALEJANDRO KORN ATM H34N327562,SAGARRA 67,ALEJANDRO KORN,SAN VICENTE,BUENOS AIRES,-34.981877,-58.374079,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL BRANDSEN ATM 54049801,PEDRO J. FERRARI 301 y LAS HERAS,CORONEL BRANDSEN,BRANDSEN,BUENOS AIRES,-35.173245,-58.246651,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL RANCHOS,HIPOLITO YRIGOYEN,RANCHOS,GENERAL PAZ,BUENOS AIRES,-35.515972,-58.315785,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL LOBOS,9 DE JULIO  y RIVADAVIA,LOBOS,LOBOS,BUENOS AIRES,-35.184910,-59.095883,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL SALADILLO,AV. BELGRANO 0000003207,SALADILLO,SALADILLO,BUENOS AIRES,-35.639013,-59.780744,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL MARCOS PAZ N° DE SERIE 1720-VH-102024,SARMIENTO 2132,MARCOS PAZ,MARCOS PAZ,BUENOS AIRES,-34.783848,-58.839420,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,GARIN - H22V578322,BELGRANO 0000000555,GARÍN,ESCOBAR,BUENOS AIRES,-34.420141,-58.729719,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL ZARATE ATM 56DW601293,INDEPENDENCIA 802 y JUSTA LIMA DE ATUCHA,ZARATE,ZARATE,BUENOS AIRES,-34.098099,-59.023336,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL LOS CARDALES -,SAN MARTIN 0000000010,LOS CARDALES,EXALTACION DE LA CRUZ,BUENOS AIRES,-34.329685,-58.987978,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,GRAL. RODRIGUEZ 5300618937,AV. SAN MARTIN 0000000205,GENERAL RODRIGUEZ,GENERAL RODRIGUEZ,BUENOS AIRES,-34.607265,-58.950557,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL ESCOBAR - SERIE Nº,EUGENIA TAPIA DE CRUZ 510,BELÉN DE ESCOBAR,ESCOBAR,BUENOS AIRES,-34.346232,-58.793512,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL LUJAN ATM H34N327497,SAN MARTIN 498 y COLON,LUJAN,LUJAN,BUENOS AIRES,-34.565406,-59.115338,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL MERCEDES ATM H34N327522,AV. 29 521,MERCEDES,MERCEDES,BUENOS AIRES,-34.651130,-59.432218,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL PILAR ATM,AV. RIVADAVIA 0000000701,PILAR,PILAR,BUENOS AIRES,-34.459333,-58.913188,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL SAN ANTONIO DE ARECO ATM H34N327564,ALSINA 150,SAN ANTONIO DE ARECO,SAN ANTONIO DE ARECO,BUENOS AIRES,-34.244064,-59.474326,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,CASA MATRIZ LA PLATA - N° SERIE 5300514731,AV. 7 726,LA PLATA,LA PLATA,BUENOS AIRES,-34.911444,-57.951999,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL  RIOBAMBA ATM H34N344884,AV. SANTA FE 1902,CABA ZONA NORTE,CABA,CABA,-34.595887,-58.394886,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL PLAZA MISERERE,AV. RIVADAVIA 0000002828,CABA ZONA NORTE,CABA,CABA,-34.610185,-58.406595,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,CABALLITO,AV. RIVADAVIA 5025,CABA ZONA NORTE,CABA,CABA,-34.618425,-58.436772,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL CALLAO,AV. CALLAO 201,CABA ZONA NORTE,CABA,CABA,-34.606790,-58.392130,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,DEPARTAMENTAL MAR DEL PLATA - N° DE SERIE 5300592213,SAN MARTIN 2563,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,-37.999559,-57.546384,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,MONTE GRANDE,SOFIA TERRERO DE SANTAMARINA 475,MONTE GRANDE,ESTEBAN ECHEVERRIA,BUENOS AIRES,-34.822525,-58.471929,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL SAN ANTONIO DE PADUA - N° DE SERIE 1720-VH-101982,AV. JUAN DOMINGO PERON 23800 y DIRECTORIO,SAN ANTONIO DE PADUA,MERLO,BUENOS AIRES,-34.665663,-58.697676,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL PIÃEYRO ATM 1720VH106478,AV. GALICIA 0000000776,PIÑEYRO,AVELLANEDA,BUENOS AIRES,-34.671115,-58.390282,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURAL GRAL. PACHECO ATM 3044878823,HIPOLITO YRIGOYEN 714,GENERAL PACHECO,TIGRE,BUENOS AIRES,-34.472881,-58.597244,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL ISIDRO CASANOVA ATM H34N327510,AV. BRIG. JUAN MANUEL DE ROSAS 6699,ISIDRO CASANOVA,LA MATANZA,BUENOS AIRES,-34.702181,-58.581068,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL ALDO BONZI,AV. LINO LAGOS 0000001928,ALDO BONZI,LA MATANZA,BUENOS AIRES,-34.709059,-58.514855,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL BOULOGNE SUR MER,BULNES 21,BOULOGNE SUR MER,SAN ISIDRO,BUENOS AIRES,-34.511757,-58.567185,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL VILLA CELINA - N° DE SERIE 5300592885,CHILAVERT 1790,VILLA  EDUARDO MADERO,LA MATANZA,BUENOS AIRES,-34.692619,-58.483484,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL BELLA VISTA - N° DE SERIE 5300614310,SENADOR MORON 1276,BELLA VISTA,SAN MIGUEL,BUENOS AIRES,-34.563468,-58.682557,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL CALLE 12 - N° DE SERIE 5300516243,CALLE 12 1275,LA PLATA,LA PLATA,BUENOS AIRES,-34.924342,-57.948540,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL PASO DEL REY,BARTOLOME MITRE 0000001362,PASO DEL REY,MORENO,BUENOS AIRES,-34.655494,-58.767665,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL EL PALOMAR,ITACUMBU 680,EL PALOMAR,MORON,BUENOS AIRES,-34.605525,-58.596611,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL CASTELAR ATM H34N327532,BUENOS AIRES 558,CASTELAR,MORON,BUENOS AIRES,-34.653528,-58.642752,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL AVELLANEDA - N° DE SERIE 5300613618,AV. BARTOLOME MITRE 498,AVELLANEDA,AVELLANEDA,BUENOS AIRES,-34.660240,-58.367991,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL  BURZACO ATM 56DW601320,GRAL. ROCA 1161,BURZACO,ALMIRANTE BROWN,BUENOS AIRES,-34.822510,-58.392273,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL BERAZATEGUI - N° DE SERIE 5300594907,AV. PRESIDENTE PERON 4928,BERAZATEGUI,BERAZATEGUI,BUENOS AIRES,-34.761001,-58.207729,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL BERISSO,MONTEVIDEO 0000000202,BERISSO,BERISSO,BUENOS AIRES,-34.865948,-57.889072,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL LOMAS DEL MIRADOR,AV. BRIG. GRAL. JUAN MANUEL DE ROSAS 0000001044,LOMAS DEL MIRADOR,LA MATANZA,BUENOS AIRES,-34.667902,-58.531713,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL BANFIELD -Nº DE SERIE H34N327520,AV. ALSINA 653,BANDFIELD,LOMAS DE ZAMORA,BUENOS AIRES,-34.743887,-58.393309,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,VILLA MAIPU,ESTRADA 0000001890,VILLA MAIPÚ,GENERAL SAN MARTIN,BUENOS AIRES,-34.564866,-58.515286,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,CRUCE FLORENCIO VARELA - N° DE SERIE 5300595018,AV. CALCHAQUI 6599 y BALCARCE,FLORENCIO VARELA,FLORENCIO VARELA,BUENOS AIRES,-34.779632,-58.263014,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL RAFAEL CALZADA - SERIE Nº 5300591228,ALTAMIRA 1779,RAFAEL CALZADA,ALMIRANTE BROWN,BUENOS AIRES,-34.794900,-58.357601,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL GLEW - N° DE SERIE 3044879205,PATRIA 69,GLEW,ALMIRANTE BROWN,BUENOS AIRES,-34.887231,-58.384645,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,BARRIO SAN JOSE ATM H34N327506,AV. EVA PERON 2942,TEMPERLEY,LOMAS DE ZAMORA,BUENOS AIRES,-34.761591,-58.362033,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,ZONA ESTE LA PLATA ATM 5300456872,AV. 1 1389,LA PLATA,LA PLATA,BUENOS AIRES,-34.916005,-57.934545,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SAN FRANCISCO SOLANO - Nº SERIE 5300593708,AV. 844 2544,SAN FRANCISCO SOLANO,QUILMES,BUENOS AIRES,-34.781006,-58.312948,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,DELEGACION AVENIDA 44 - N° DE SERIE 5300516247,AV. 44 1631,LA PLATA,LA PLATA,BUENOS AIRES,-34.929869,-57.976600,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,DON TORCUATO - H22V578276,AVENIDAD ANGEL T. DE ALVEAR 0000002223,TIGRE,TIGRE,BUENOS AIRES,-34.490431,-58.624223,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,GONZALEZ CATAN ATM,PUERTO ARGENTINO 0000004182,GONZÁLEZ CATÁN,LA MATANZA,BUENOS AIRES,-34.768509,-58.647752,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL LOMAS DE ZAMORA  ATM H34N327583,LAPRIDA 200,LOMAS DE ZAMORA,LOMAS DE ZAMORA,BUENOS AIRES,-34.760861,-58.995500,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,DELEGACION LAVALLOL,AV. ANTARTIDA ARGENTINA,LLAVALLOL,LOMAS DE ZAMORA,BUENOS AIRES,-34.797980,-58.424562,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL OLIVOS - N° DE SERIE 5300593652,AV. MAIPU 2598,OLIVOS,VICENTE LOPEZ,BUENOS AIRES,-34.511192,-58.490184,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL QUILMES ATM 54049816,RIVADAVIA 245 y ALMIRANTE BROWN,QUILMES,QUILMES,BUENOS AIRES,-34.721726,-58.256463,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL AVENIDA CALCHAQUI (QUILMES) ATM H34N327523,AV. 12 DE OCTUBRE 2731,QUILMES,QUILMES,BUENOS AIRES,-34.740466,-58.286492,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SAN FERNANDO- H22V578273,CONSTITUCION 0000000899,SAN FERNANDO,SAN FERNANDO,BUENOS AIRES,-34.439916,-58.558260,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,FLORENCIO VARELA N. DE SERIE 5300613570,DR. BERNARDO DE MONTEAGUDO 3304,FLORENCIO VARELA,FLORENCIO VARELA,BUENOS AIRES,-34.809902,-58.274470,0
